カード名,型番,画像ファイル名,フレーバー
フェイト・ガルペンター,DM26RP1 32/77,002_049_01_フェイト・ガルペンター.jpg,第五層で待ち構えていたのは「U」のブライゼジェネレイド。部屋全体が海水に覆われた海底鬼面城での闘いにはヘヴィ・ウィン・メタルも苦戦を覚悟したが、ブライゼジェネレイドからの申し出は予想外なものだった。
黒神龍ネオ・ドボルザーク,DM26RP1 36/77,003_003_01_黒神龍ネオ・ドボルザーク.jpg,倒しても倒しても立ち上がり闘い続けるヘヴィ・ウィン・メタル。その闘いの中で、ボルメテウスは自らが闘う楽しみを取り戻していった。
我竜塔最高層 ローズ・キャッスル,DM26RP1 39/77,003_006_01_我竜塔最高層 ローズ・キャッスル.jpg,我竜塔の最高層。そこは忌々しき「Y」の領域。「Z」への「イエス」という忠誠を持たなければ、立っていることすらままならないだろう。
マッハ・ガルピア,DM26RP1 40/77,003_007_01_マッハ・ガルピア.jpg,鉄壁なるギャラクシーを前に絶体絶命のヘヴィ・ウィン・メタル。しかし、闘いの心に目覚めていたのは彼だけではなかった。追って我竜塔を駆け上ってきたボルシャック・メビウスが二人の間に割って入る！
破壊の神遁バジル,DM26RP1 41/77,003_008_01_破壊の神遁バジル.jpg,その世界は、まるで歴史の裏側に来てしまったかのようだった。
我竜塔第八層 バルザーク,DM26RP1 43/77,003_010_01_我竜塔第八層 バルザーク.jpg,我竜塔の第八層。そこは捨て身な「X」の領域。自らの命を顧みずに戦うものを前にしては、立っていることすら難しいだろう。
神嵐の超人,DM26RP1 44/77,003_011_01_神嵐の超人.jpg,「Z」の意志が宇宙と同化したことで墜落するティーツーと崩壊する我竜塔。だが、落ちながらも闘い続けるヘヴィ・ウィン・メタルとボルメテウスの決着を見届ける前にメモッタはまたも別世界へと移動させられてしまうのだった。
ガルド・ライフ,DM26RP1 46/77,003_013_01_ガルド・ライフ.jpg,第八層で待ち構えていたのは「X」のエクストリーム・キリコ……と認識するや否や、エクストリーム・キリコは突然の大爆発を起こす。
我竜塔第七層 ハッスル・キャッスル,DM26RP1 47/77,003_014_01_我竜塔第七層 ハッスル・キャッスル.jpg,我竜塔の第七層。そこは完璧なる「W」の領域。そこに踏み入れたものはあふれる活力で冷静さを失い、冷酷なる「W」の鉄壁なる守りを打ち崩せない。
英王のM スターマン,DM26RP1 48/77,003_015_01_英王のM スターマン.jpg,17柱の神を全滅させたヘヴィ・ウィン・メタルはメモッタと共に第二層へと向かう。しかし、そこにいるはずの主はいなかった。しばしの休息の後、彼らは続く第三層へと向かうのだった。
獣王のB ペガサス,DM26RP1 49/77,003_016_01_獣王のB ペガサス.jpg,闘いを求めて我竜塔へ突入したヘヴィ・メタル。だが、それを待ち構えていたのは「Ａ」から「Ｑ」までの17柱の守り神たちだった。勇猛なるヘヴィ・メタルをもってしても17柱の神々と同時に戦うのは至難の業であった。
蛇王のL ナーガ,DM26RP1 50/77,003_017_01_蛇王のL ナーガ.jpg,17柱の神々を一撃で打ち倒すヘヴィ・ウィン・メタルを見てメモッタはこの世界の歪みに気がついた。彼をこの塔の最上階、「Z」の元まで導かなければならないと直感した。
死王のK デス・フェニックス,DM26RP1 51/77,003_018_01_死王のK デス・フェニックス.jpg,メモッタはヘヴィ・メタルの「闘いたい」という心に反応した。そしてメモッタは「勝たせたい」と願った。それによって新たな力を得た龍神、ヘヴィ・ウィン・メタルが誕生したのだった。
魂王のE ソウル・フェニックス,DM26RP1 52/77,003_019_01_魂王のE ソウル・フェニックス.jpg,17柱の神々からの攻撃を受け瀕死となったヘヴィ・メタルではあったが、それでも闘いの中に身を投じていることの嬉しさを実感していた。そして、そこに別世界からの来訪者、メモッタが現れたのだった。
アドベント・チャージャー,DM26RP1 ㊙22/㊙24,003_020_01_アドベント・チャージャー.jpg,精霊から祝福がもたらされる。再び、すべてを浄化するために。
プラスワン・ゲート,DM26RP1 ㊙23/㊙24,003_021_01_プラスワン・ゲート.jpg,ママのミルクをもう一杯か？
月光電人オボロカゲロウ,DM26RP1 T7/T10,003_023_01_月光電人オボロカゲロウ.jpg,かつて星龍は、5つの文明の力を得るためにマナの力を失った。だが、復活した悪魔神は強欲にもすべてを手に入れていた。
ヤット・パウル,DM26RP1 T8/T10,003_024_01_ヤット・パウル.jpg,魔具と炎鳥と竜の末裔が神を呼び出す。それすなわち「破壊龍神」なり！
悪魔の契約,DM26RP1 T9/T10,003_025_01_悪魔の契約.jpg,何故、人は目の前にある絶望に目をつむるのだ？その絶望が未来には希望に代わることもあるのに。 — 絶望の魔黒ジャックバイパー
ポップ・ルビン,DM26RP1 T10/T10,003_026_01_ポップ・ルビン.jpg,超竜の魂が大地から蘇る。それすなわち「勝利の魂」なり！
幸せの精霊ミルザム・キッド,DM26RP1 53/77,003_027_01_幸せの精霊ミルザム・キッド.jpg,ボルシャック・メビウスと闘ううちに、ギャラクシーも闘いの心に目覚め冷静さを失っていった。そして、ただの好敵手として闘いを続けるメビウスとギャラクシーを置いて、ヘヴィ・ウィン・メタルは先を急ぐのだった。
プラスワン・スパーク,DM26RP1 55/77,003_029_01_プラスワン・スパーク.jpg,我竜塔が崩壊し、光り輝く天空城が姿を現した。
アドベント・チャージャー,DM26RP1 56/77,003_030_01_アドベント・チャージャー.jpg,第七層で待ち構えるのは、「W」のインビンシブル・ギャラクシー。城から強制的に注ぎ込まれる活力で冷静な判断力を失ったヘヴィ・ウィン・メタルをギャラクシーは冷静にいなしていく。
我竜塔第一層 セイント・キャッスル,DM26RP1 57/77,003_031_01_我竜塔第一層 セイント・キャッスル.jpg,我竜塔の第一層。そこは17柱の神々が治める聖なる領域。彼らはこの世界の平穏の象徴であり、仮に闘いをおこそうとするものがいても、彼らの前に鎮圧されるだろう。
漂流大陸の進撃,DM26RP1 59/77,003_033_01_漂流大陸の進撃.jpg,メモッタが漂流してたどり着いた世界。それは「Z」と我竜塔に支配され、闘いの心が失われた世界であった。しかし、そこでも闘いたい意志を強く持ち続け「Z」に叛逆するべく我竜塔に挑もうとする超獣がいた。その名はヘヴィ・メタル。
ガルド・ブレイン,DM26RP1 60/77,003_034_01_ガルド・ブレイン.jpg,第六層で待ち構えていたのは「V」のヴェノム・ランブル。その特技は全てを見通す「闇眼」。しかし「闇眼」でメモッタを見た瞬間に、見てはいけないものを見たかのように眼を抑え、そのまま動かなくなってしまった。
プラスワン・ゲート,DM26RP1 61/77,003_035_01_プラスワン・ゲート.jpg,我竜塔が崩壊し、知られざる知識が渦巻きはじめた。
我竜塔第五層 海底鬼面城,DM26RP1 62/77,003_036_01_我竜塔第五層 海底鬼面城.jpg,我竜塔の第五層。そこは幽玄なる「U」の領域。海水に覆われた広い部屋の中では上下はおろか相手の姿すら認知できない。
解体人形ジェガル,DM26RP1 64/77,003_038_01_解体人形ジェガル.jpg,ブライゼジェネレイドは「Z」が支配の中で孤独になっていることを哀しんでいた。彼女はヘヴィ・ウィン・メタルに「Z」を倒し救ってあげて欲しいと伝えると、上の階層への扉を開いたのだった。
プラスワン・ハンド,DM26RP1 65/77,003_039_01_プラスワン・ハンド.jpg,我竜塔が崩壊し、覇王が世界を侵略するべく動き出す。
切り札の時!!,DM26RP1 66/77,003_040_01_切り札の時!!.jpg,我竜塔の上空に現れたティーツー。そこに鎮座するのは「Z」の支配する切札竜、ボルメテウス・リバース・ドラゴンだった。
我竜塔第四層 ポチョムキン,DM26RP1 67/77,003_041_01_我竜塔第四層 ポチョムキン.jpg,我竜塔の第四層。そこは怪しげなる「T」の領域。偽りの楽園に惑わされるが、その本質はガルドに従うものかどうかを選別する怪しき部屋。
襲撃者ガルゼドライブ,DM26RP1 68/77,003_042_01_襲撃者ガルゼドライブ.jpg,爆発しても何度でも蘇るエクストリーム・キリコ。彼女は、当初の意志を保っていなかった。闘うわけでもなく繰り返し爆発するだけの「X」の爆撃を耐えながらヘヴィ・ウィン・メタルは闘いを求めて次の階層へと向かうのだった。
プラスワン・フレーム,DM26RP1 70/77,003_044_01_プラスワン・フレーム.jpg,我竜塔が崩壊し、消えない炎が再び燃え盛る。
逆転の時!!,DM26RP1 71/77,003_045_01_逆転の時!!.jpg,チャクラ・デル・フィンを倒したヘヴィ・ウィン・メタル。そして最高層を制覇した彼を迎え入れるかのように、我竜塔の上に究極我竜塔 ティーツーが現れたのだった。
我竜塔第三層 超鯱城,DM26RP1 72/77,003_046_01_我竜塔第三層 超鯱城.jpg,我竜塔の第三層。そこは激情なる「S」の領域。「R」と「S」の同時攻撃に戦士は心身ともにすべてを奪われて敗北するしかない。
ノーガルディ・ネギオ＆ガルダンディ・ナスオ,DM26RP1 74/77,003_048_01_ノーガルディ・ネギオ＆ガルダンディ・ナスオ.jpg,束縛されてもなお、闘いを求めるヘヴィ・ウィン・メタル。闘い続けさせるためにメモッタは彼を束縛する盾を打ち破る。その瞬間、ヘヴィ・ウィン・メタルに秘められた力が解放され、チャクラ・デル・フィンは一撃で焼き尽くされた。
インビンシブル・タワー,DM26RP1 75/77,003_049_01_インビンシブル・タワー.jpg,その世界には、天高くそびえる塔がひとつ立っていた。その塔の名は、我竜塔（ガルド）と言った。我竜塔には九つの部屋があり、それぞれ「Z」から名前を与えられた使徒が守っている。
プラスワン・トラップ,DM26RP1 76/77,003_050_01_プラスワン・トラップ.jpg,我竜塔が崩壊し、魂は安らぎの場所を得ることとなる。
我竜塔第二層 ダルマンディ,DM26RP1 77/77,003_051_01_我竜塔第二層 ダルマンディ.jpg,我竜塔の第二層。そこは極寒なる「R」の領域。だが主は不在で戦士はつかの間の休息をとる。なぜなら「R」の信念はすべてを与えて勝つことだから。
邪闘 シス,DM26SD1 3㊙/14,001_005_01_邪闘 シス.jpg,無数の運命から自分の未来をつかみ取る！それすなわち決断の物語なり!!
ヨビニオン・マルル,DM26SD1 1/16,001_013_01_ヨビニオン・マルル.jpg,このデッキでヨビニオンを持ったクリーチャーを出したらデドダムが確定！勝利が一気に近づくぞ!!
終末の監視者 ジ・ウォッチ,DM26SD1 4/16,001_016_01_終末の監視者 ジ・ウォッチ.jpg,コストの大きい切り札が多いけど、ガイアッシュがいれば出し放題！最強切り札軍団で相手の逆転を封じろ!!
地封龍 ギャイア,DM26SD1 7/16,001_027_01_地封龍 ギャイア.jpg,大型クリーチャーを出す方法はマナ加速以外にもある！ボルシャック・ドリームで踏み倒す裏ワザを使って最速で相手のクリーチャーを完封しちゃおう！
一王二命三眼槍,DM26SD1 1/14,001_029_01_一王二命三眼槍.jpg,あえて自らのシールドを削りまくれ！最後はこいつが守ってくれるぞ!!
月下卍壊 ガ・リュミーズ 卍,DM26SD1 2F/14,001_035_01_月下卍壊 ガ・リュミーズ 卍.jpg,ゴスペルを革命チェンジで使い回せば、連続して追加ターンを取り続けることも夢じゃない!!
完璧妖精マリニャンX,DM26SD1 5/14,001_045_01_完璧妖精マリニャンX.jpg,スノーフェアリーが５体いれば相手のS・トリガー獣での逆転を防げるぞ！
終の怒流牙 ドルゲユキムラ,DM26SD1 6/14,001_046_01_終の怒流牙 ドルゲユキムラ.jpg,ジャイアントが並んだら、こいつを出して一気に勝負を決めよう！
月下卍壊 ガ・リュミーズ 卍,DM26SD1 1/13,002_007_01_月下卍壊 ガ・リュミーズ 卍.jpg,２ターン目に新世壊を設置し、魔導具呪文を４回唱えて４枚を下に敷けば魔法陣完成！ドルスザクを大量に召喚しながら、追加ターンで勝利だ!!
ガチャンコ ガチロボ,DM26SD1 1/13,002_014_01_ガチャンコ ガチロボ.jpg,マナ加速からのガチロボがこのデッキの王道パターン！８コストクリーチャーが３体めくれたらお祭り騒ぎ！ガチロボがめくれた時だけは残念だ!?!?
永遠のリュウセイ・カイザー,DM26SD1 2F/13,002_016_01_永遠のリュウセイ・カイザー.jpg,ガチロボにスピードアタッカーを与えられるので、連続でガチャれるぞ！
ニコル・ボーラス,DM26SD1 7/13,002_020_01_ニコル・ボーラス.jpg,８コストのクリーチャーなら何がめくれても大当たり！超ド級クリーチャーたちがバトルゾーンを埋め尽くせば、ガチャンコ祭りの開幕だ!!
勝災電融王 ギュカウツ・マグル,DM26SD1 10/13,002_023_01_勝災電融王 ギュカウツ・マグル.jpg,こいつがめくれたらワクワク継続！当たりがおまけでついてくるぞ!!
闘門の精霊ウェルキウス,DM26SD1 1/13,002_024_01_闘門の精霊ウェルキウス.jpg,どんな大型ブロッカーでも踏み倒し続けるこのデッキの切り札だ！
ドマンモ龍樹,DM26SD1 7/13,002_033_01_ドマンモ龍樹.jpg,墓地の枚数でコストが下がるクリーチャーのために墓地を増やしまくるのがこのデッキの王道ムーブだ！
斬隠蒼頭龍バイケン,DM26SD1 3/12,002_038_01_斬隠蒼頭龍バイケン.jpg,相手のターンにS・トリガーで唱えたブレイン・スラッシュやザ・ミュートからこのカードを捨てれば、予想外の反撃を食らわせられるぞ！
不敗のダイハード・リュウセイ,DM26SD1 3/12,002_039_01_不敗のダイハード・リュウセイ.jpg,大量のマナ加速から「刃鬼」を出して最強のハンター軍団を並べまくる！それがこのデッキの王道だ！
不敗のダイハード・リュウセイ,DM26SD1 3F/12,002_040_01_不敗のダイハード・リュウセイ.jpg,数いるハンターの中でもS・トリガーすら許さないダイハード・リュウセイは最優先して出したい切り札のひとつだ！
不敗のダイハード・リュウセイ,DM26SD1 3㊙/12,002_041_01_不敗のダイハード・リュウセイ.jpg,不敗と必勝、その組み合わせの前に敵は無し。
超神龍バイラス・カースド,DM26SD1 6/12,002_044_01_超神龍バイラス・カースド.jpg,このデッキの切り札はほとんどコスト10以上！「刃鬼」が引けなくてもガイアッシュを使えばコストを軽くして出しまくれるのだ！
ジョギラゴン＆ジョニー ～Jの旅路～,DM26SD1 1㊙/12,002_047_01_ジョギラゴン＆ジョニー ～Jの旅路～.jpg,新たな出会いを求めて旅に出る！それすなわち自由の物語なり!!
天風のゲイル・ヴェスパー,DM26SD1 1/12,003_004_01_天風のゲイル・ヴェスパー.jpg,まずはこいつを早く出せるように軽い12000を並べまくろう！
水上第九院 シャコガイル,DM26SD1 2F/12,003_006_01_水上第九院 シャコガイル.jpg,ゲイルとジークのコンボが決まったら、山札の12000を全部出しつくそう。そして、山札が２枚になる前にこいつを出せば特殊勝利完成だ！
ジーク・ナハトファルター,DM26SD1 3/12,003_007_01_ジーク・ナハトファルター.jpg,ゲイルが居ればパワー12000以上のクリーチャーはそのうち全部１マナで出せる！そうすればジークでマナを増やしつつ12000を回収し続けて出しまくる無限コンボ完成だ。
弾丸超邪 クロスファイア,DM26SD1 2F/12,003_019_01_弾丸超邪 クロスファイア.jpg,G・ゼロやG・G・Gはマナゾーンから召喚する時にも使えるぞ!!
超竜ヴァルキリアス,DM26SD1 2F/11,003_024_01_超竜ヴァルキリアス.jpg,バクテラスから出せれば、マナからボルメテウス・サファイア・ドラゴンやさらなるバクテラスを出して圧倒できるぞ！
地封龍 ギャイア,DM26SD1 2F/11,003_030_01_地封龍 ギャイア.jpg,序盤に手札に来た大型クリーチャーはマナチャージしちゃおう！最後にはギュンターでマナゾーンからコストを踏み倒せばOKだ！
熱き侵略 レッドゾーンZ,DM26SD1 4/10,003_032_01_熱き侵略 レッドゾーンZ.jpg,マナ加速からのハチ公でガチンコ・ジャッジに勝ちまくるのが王道だ!!
♪立ち上がる 悪魔に天使 堕ちるかな,DM26SD1 8/14,003_035_01_♪立ち上がる 悪魔に天使 堕ちるかな.jpg,ラフルル・ラブかこのカードで相手の反撃を封じて、一気に勝利を目指せ！
深淵の逆転撃,DM26SD1 9/14,003_036_01_深淵の逆転撃.jpg,シールドがゼロになっても大丈夫！このデッキにはシールドが無くても相手の攻撃を防ぐ手段が山ほど入っているぞ！
エンドレス・フローズン・カーニバル,DM26SD1 6/14,003_038_01_エンドレス・フローズン・カーニバル.jpg,相手の大型ブロッカーが邪魔で攻撃しにくいならこのカードの出番！
♪立ち上がる 悪魔に天使 堕ちるかな,DM26SD1 3/13,003_044_01_♪立ち上がる 悪魔に天使 堕ちるかな.jpg,相手の能力を無視するとは能力そのものを無くすことだ！例えば、厄介なブロッカーが居てもそのコストを宣言すればブロッカー能力が無視されてブロックできなくなるのだ!!
瞬閃と疾駆と双撃の決断,DM26SD1 4/13,003_045_01_瞬閃と疾駆と双撃の決断.jpg,カラクリバーシをアンタップさせ、そのままカクメイジンにチェンジするのだ！
ヨビニオン・フレイムバーン,DM26SD1 9/13,003_050_01_ヨビニオン・フレイムバーン.jpg,墓地を増やすためにはとにかくアバクを出そう！このデッキのヨビニオンはアバクが確定しているぞ!!
Vチャロン,DM26SD1 4/12,004_001_01_Vチャロン.jpg,カレイコの黒像がある状態で出せば、相手のシールドは何枚あろうと一瞬で０枚に！必殺のシールド消失コンボで、安全にダイレクトアタックを決めるのだ!!
“逆悪襲”ブランド,DM26SD1 1/12,004_012_01_“逆悪襲”ブランド.jpg,手札がこれだけならたった１マナの最強切り札になるぞ!!
再興王女プリン,DM26SD1 5/12,004_015_01_再興王女プリン.jpg,出したターンにこいつから侵略すれば、侵略先にもジャストダイバーが引き継がれるぞ！
ボルメテウス・サファイア・ドラゴン,DM26SD1 5/11,004_017_01_ボルメテウス・サファイア・ドラゴン.jpg,バクテラスでめくれたら大当たり！S・トリガーによる反撃を許さないぞ！
飛ぶ革命 ヴァル・ボルシャック,DM26SD1 7/11,004_019_01_飛ぶ革命 ヴァル・ボルシャック.jpg,チェンジしたばかりのヴォルジャアクやフレアをアンタップさせれば、そのままバクテラスへと一気に革命チェンジ！このデッキ最強の裏ワザだ！
神羅ケンジ・キングダム,DM26SD1 5/11,004_022_01_神羅ケンジ・キングダム.jpg,軽量進化クリーチャーからケンジ・キングダムに究極進化して切り札級カードのコストを踏み倒すのがこのデッキの王道ムーブだ！
逆転の剣スカイソード,DM26SD1 11/16,004_025_01_逆転の剣スカイソード.jpg,S・トリガーは防御の要！相手の攻撃できるクリーチャーをマナに送りつつ、反撃のためのクリーチャーをマナから出して逆転を狙え!!
ヨビニオン・トライブ,DM26SD1 12/16,004_026_01_ヨビニオン・トライブ.jpg,ヨビニオンからデドダムが確定するのは３マナ以下のクリーチャーがデドダムだけだからだ！このデッキを改造する時はそこに気を付けよう！
天災 デドダム,DM26SD1 13/16,004_027_01_天災 デドダム.jpg,１体で手札とマナと墓地を一気に増やせるすごいヤツ！まずはとにかくデドダムを出そう！
サーヴァ・K・ゼオス,DM26SD1 9/16,004_028_01_サーヴァ・K・ゼオス.jpg,S・トリガーは防御の要！これ1体で相手の攻撃を2体分止められるぞ！
熊田すず,DM26SD1 11/16,004_030_01_熊田すず.jpg,クリーチャーだけじゃなく手札も攻められるかしこいヤツ！相手のクリーチャーを倒せば倒すほど手札もどんどん減らせるぞ!!
真久間メガ,DM26SD1 12/16,004_031_01_真久間メガ.jpg,クリーチャーがたくさん並んでピンチ！でも、そんな時にはこいつで逆転だ！
地封院ギャイ,DM26SD1 13/16,004_032_01_地封院ギャイ.jpg,メンデルスゾーンや栄光・ルピアでマナにいっちゃったドラゴンもギャイが居れば大丈夫！マナを第二の手札にしよう!!
メンデルスゾーン,DM26SD1 15/16,004_034_01_メンデルスゾーン.jpg,2ターン目に2マナ加速したら勝利目前!?マナを伸ばして高コストのドラゴンにつなげるのがこのデッキの王道だ！
百鬼の邪王門,DM26SD1 12/14,004_037_01_百鬼の邪王門.jpg,攻めにも守りにも使える、このデッキの主役カードだ！
天災 デドダム,DM26SD1 13/14,004_038_01_天災 デドダム.jpg,実はこのデッキはジャオウガと邪王門のコンボデッキ！デドダムがあれば足りない方を探しに行けるぞ。
ファイナル・ストップ,DM26SD1 7/14,004_039_01_ファイナル・ストップ.jpg,たとえ追加ターンがあっても相手のS・トリガーはやっぱり脅威！革命チェンジとファイナル・ストップで相手の逆転を封じよう。
オリオティス・ジャッジ,DM26SD1 8/14,004_040_01_オリオティス・ジャッジ.jpg,S・トリガーは防御の要！相手の大型クリーチャーの攻撃をこのカードでかわし、次のターンにゴスペルの連続追加ターンコンボを決めるのだ!!
キリモミ・ヤマアラシ,DM26SD1 9/14,004_041_01_キリモミ・ヤマアラシ.jpg,ゴスペルは墓地の呪文の数だけコストが軽くなる。そして、キリモミ・ヤマアラシはクリーチャーのコストを１軽くする！つまり、このカードは１枚でコストを２マナ軽くできるのを忘れちゃいけないぞ！
ゴールド・フラウム,DM26SD1 8/14,004_048_01_ゴールド・フラウム.jpg,メクレイドは召喚なので94nm4から出してもヨビニオンできるぞ！
忍鎖の聖沌 94nm4,DM26SD1 9/14,004_049_01_忍鎖の聖沌 94nm4.jpg,攻撃するたびにメクレイドできる、メカ並べ戦略のキーカード！相手のターンでも、シールドが増えたなら１回はメクレイドできるので忘れないようにしよう。
ドラゴンズ・サイン,DM26SD1 6/13,005_001_01_ドラゴンズ・サイン.jpg,ザーディクリカからクリーチャー踏み倒し呪文を使えば、次々と連鎖して大量の切り札でバトルゾーンを埋め尽くせるぞ！
アクアン,DM26SD1 7/13,005_002_01_アクアン.jpg,光か闇を含んでいるなら、多色カードも手札に加えられる！大量手札補充で、ドラゴンズ・サイン＋ザーディクリカやボスカツ＋ドルファディロムのセットを揃えよう!!
